date;conta;valor;tp_conta
2021-02-01;transferencias_de_capital;2,33380258553098e+07;
2020-02-01;operacoes_de_credito;2,66270852864070e+07;
2019-02-01;operacoes_de_credito;2,81407719660243e+07;
2018-02-01;itbi;2,91826336830736e+07;
2020-02-01;itbi;3,19351247583297e+07;
2019-02-01;transferencias_de_capital;3,23430005121227e+07;
2019-02-01;itbi;3,48646326979717e+07;
2019-04-01;operacoes_de_credito;3,59726077819035e+07;
2020-02-01;transferencias_de_capital;3,85458475126155e+07;
2021-02-01;itbi;3,97222236686541e+07;
2018-02-01;transferencias_de_capital;4,63754612666234e+07;
2018-02-01;receitas_de_capital;5,10674012779130e+07;
2020-04-01;itbi;5,38798506065135e+07;
2021-04-01;transferencias_de_capital;5,65282513300000e+07;
2018-08-01;operacoes_de_credito;6,05083874764640e+07;
2019-02-01;receitas_de_capital;6,08563514270236e+07;
2019-04-01;itbi;6,32018163514783e+07;
2018-04-01;itbi;6,53595854693484e+07;
2020-02-01;receitas_de_capital;6,63439960820691e+07;
2020-06-01;itbi;7,36774235527929e+07;
2021-04-01;itbi;7,53390263200000e+07;
2020-04-01;transferencias_de_capital;9,10629925308092e+07;
2019-04-01;transferencias_de_capital;9,28440275305394e+07;
2021-02-01;demais_rc;9,37192504557911e+07;
2019-06-01;itbi;9,89724165197177e+07;
2018-06-01;itbi;9,91865512508865e+07;
2020-02-01;outros_impostos;1,17021022072692e+08;
2020-08-01;itbi;1,19943606193948e+08;
2021-02-01;outros_impostos;1,20177230325640e+08;
2019-02-01;outros_impostos;1,20259198961123e+08;
2018-02-01;outros_impostos;1,23339510709278e+08;
2018-02-01;demais_rc;1,27277623947452e+08;
2019-04-01;receitas_de_capital;1,30281909794157e+08;
2018-10-01;operacoes_de_credito;1,34182509415982e+08;
2019-08-01;itbi;1,36514637875741e+08;
2020-04-01;operacoes_de_credito;1,38206659987328e+08;
2020-02-01;demais_rc;1,38327915775833e+08;
2018-08-01;itbi;1,38761919191728e+08;
2020-06-01;transferencias_de_capital;1,46239175712618e+08;
2018-04-01;transferencias_de_capital;1,50743106217211e+08;
2020-10-01;itbi;1,64620996906672e+08;
2018-12-01;operacoes_de_credito;1,67015911642725e+08;
2019-06-01;transferencias_de_capital;1,69869865839853e+08;
2018-04-01;receitas_de_capital;1,70292536341799e+08;
2019-10-01;itbi;1,72696065391275e+08;
2018-10-01;itbi;1,76919535582609e+08;
2021-02-01;operacoes_de_credito;1,84886737950438e+08;
2019-02-01;demais_rc;1,98533617851501e+08;
2021-04-01;demais_rc;2,00319652160000e+08;
2021-02-01;receitas_de_capital;2,08441262793049e+08;
2019-12-01;itbi;2,14054491040324e+08;
2020-12-01;itbi;2,14299426437402e+08;
2020-06-01;operacoes_de_credito;2,14402658505688e+08;
2018-02-01;iss;2,17222565771259e+08;
2018-12-01;itbi;2,21593123354232e+08;
2019-08-01;transferencias_de_capital;2,22804127217468e+08;
2018-04-01;outros_impostos;2,28893530032870e+08;
2020-04-01;demais_rc;2,30824732377940e+08;
2020-04-01;receitas_de_capital;2,31345129409044e+08;
2021-02-01;iss;2,36951808636372e+08;
2019-04-01;outros_impostos;2,38943844206463e+08;
2020-04-01;outros_impostos;2,43975236479544e+08;
2019-02-01;iss;2,54169286534862e+08;
2020-02-01;iss;2,58429902939148e+08;
2020-08-01;transferencias_de_capital;2,63639038194540e+08;
2021-04-01;outros_impostos;2,64563458140000e+08;
2018-02-01;iptu;2,77739462645009e+08;
2021-04-01;operacoes_de_credito;2,77764080200000e+08;
2018-06-01;transferencias_de_capital;2,79689510341876e+08;
2019-02-01;iptu;2,86634699930232e+08;
2019-10-01;transferencias_de_capital;2,91011590005736e+08;
2019-06-01;operacoes_de_credito;2,94013919619683e+08;
2018-06-01;receitas_de_capital;3,03691490516752e+08;
2020-02-01;iptu;3,05025664381855e+08;
2021-02-01;iptu;3,16575341222018e+08;
2020-10-01;transferencias_de_capital;3,21431979401156e+08;
2018-06-01;outros_impostos;3,46368905947162e+08;
2020-06-01;demais_rc;3,46668452370680e+08;
2021-04-01;receitas_de_capital;3,47392054890000e+08;
2019-04-01;demais_rc;3,48546074629475e+08;
2018-04-01;demais_rc;3,56758332398581e+08;
2019-06-01;outros_impostos;3,60082300823849e+08;
2020-06-01;receitas_de_capital;3,69512328056536e+08;
2020-06-01;outros_impostos;3,75350417601930e+08;
2018-04-01;iptu;3,82446780102205e+08;
2021-02-01;cota_parte_do_icms;3,91888181518536e+08;
2019-08-01;operacoes_de_credito;3,93994029186889e+08;
2020-04-01;iptu;4,02514849373603e+08;
2019-04-01;iptu;4,08319984201248e+08;
2019-02-01;cota_parte_do_icms;4,08819368449124e+08;
2018-08-01;transferencias_de_capital;4,14428166616970e+08;
2020-08-01;operacoes_de_credito;4,15378096479484e+08;
2019-12-01;transferencias_de_capital;4,15560394070229e+08;
2019-10-01;operacoes_de_credito;4,16457153732173e+08;
2018-02-01;cota_parte_do_icms;4,20666206805243e+08;
2021-04-01;iptu;4,27109917050000e+08;
2020-02-01;cota_parte_do_icms;4,41529840747676e+08;
2018-08-01;outros_impostos;4,76669616539432e+08;
2020-06-01;iptu;4,78701101811261e+08;
2018-06-01;iptu;4,79259022387025e+08;
2018-08-01;receitas_de_capital;4,82411509567926e+08;
2018-06-01;demais_rc;4,82757700660657e+08;
2021-04-01;iss;4,83743476430000e+08;
2020-04-01;iss;4,89501449140713e+08;
2020-08-01;demais_rc;4,91765382200332e+08;
2019-06-01;receitas_de_capital;4,98224223267496e+08;
2019-04-01;iss;4,99609828700103e+08;
