date;cod_ibge;Executivo;Legislativo;total
2018-12-01;2303105;51,88;2,78;54,66
2019-04-01;2303105;49,87;2,74;52,61
2019-08-01;2303105;49,07;2,81;51,88
2019-12-01;2303105;46,03;2,92;48,95
2020-04-01;2303105;47,27;2,99;50,26
2020-08-01;2303105;52,09;3,08;55,17
2020-12-01;2303105;55,79;3,09;58,88
2021-04-01;2303105;53,08;2,90;55,98
2018-04-01;2303204;67,27;2,57;69,84
2018-08-01;2303204;58,21;2,45;60,66
2018-12-01;2303204;52,78;2,38;55,16
2020-04-01;2303204;55,22;2,18;57,40
2020-08-01;2303204;51,69;2,01;53,70
2020-12-01;2303204;54,66;2,02;56,68
2021-04-01;2303204;53,53;2,54;56,07
2018-04-01;2303402;58,90;3,35;62,25
2018-08-01;2303402;57,99;3,20;61,19
2018-12-01;2303402;61,79;3,54;65,33
2019-04-01;2303402;56,63;3,32;59,95
2019-08-01;2303402;53,92;3,14;57,06
2019-12-01;2303402;53,99;2,92;56,91
2020-04-01;2303402;56,30;2,85;59,15
2020-08-01;2303402;60,67;2,77;63,44
2020-12-01;2303402;63,29;2,70;65,99
2021-04-01;2303402;63,57;2,65;66,22
2018-04-01;2303501;51,78;1,71;53,49
2018-08-01;2303501;50,93;1,67;52,60
2018-12-01;2303501;50,86;1,64;52,50
2019-04-01;2303501;49,33;1,58;50,91
2019-08-01;2303501;49,24;1,67;50,91
2019-12-01;2303501;49,80;1,67;51,47
2020-04-01;2303501;53,87;1,72;55,59
2020-08-01;2303501;53,46;1,60;55,06
2020-12-01;2303501;53,94;1,68;55,62
2021-04-01;2303501;51,39;1,57;52,96
2018-04-01;2303600;42,39;2,60;44,99
2018-08-01;2303600;54,81;3,21;58,02
2018-12-01;2303600;53,36;3,10;56,46
2019-04-01;2303600;52,23;2,95;55,18
2019-08-01;2303600;53,67;3,02;56,69
2019-12-01;2303600;53,71;3,17;56,88
2020-04-01;2303600;59,12;3,20;62,32
2020-08-01;2303600;52,46;2,97;55,43
2020-12-01;2303600;53,94;3,08;57,02
2021-04-01;2303600;53,47;2,93;56,40
2018-04-01;2303659;53,88;2,59;56,47
2018-08-01;2303659;59,75;;
2018-12-01;2303659;60,30;;
2019-04-01;2303659;68,09;2,76;70,85
2019-08-01;2303659;58,39;3,19;61,58
2019-12-01;2303659;60,02;2,50;62,52
2020-04-01;2303659;61,41;3,04;64,45
2020-08-01;2303659;61,42;2,65;64,07
2020-12-01;2303659;59,26;2,60;61,86
2021-04-01;2303659;54,90;2,36;57,26
2018-04-01;2303709;53,91;1,93;55,84
2018-08-01;2303709;51,62;2,02;53,64
2018-12-01;2303709;50,80;1,96;52,76
2019-04-01;2303709;50,66;1,89;52,55
2019-08-01;2303709;48,34;1,88;50,22
2019-12-01;2303709;45,28;1,72;47,00
2020-04-01;2303709;38,74;1,52;40,26
2020-08-01;2303709;38,80;1,56;40,36
2020-12-01;2303709;40,15;1,51;41,66
2021-04-01;2303709;46,74;1,68;48,42
2018-04-01;2303808;39,83;1,62;41,45
2018-08-01;2303808;54,40;2,22;56,62
