date;cod_ibge;rcl_bimestral
2018-04-01;2312502;3,17816959480691e+06
2018-04-01;2312601;5,11564934372040e+06
2018-04-01;2312700;9,78459332253511e+06
2018-04-01;2312908;9,90493883240586e+07
2018-04-01;2313005;7,53257883456770e+06
2018-04-01;2313104;1,08016639070302e+07
2018-04-01;2313252;3,91183205695557e+06
2018-04-01;2313302;8,99787759941634e+07
2018-04-01;2313351;7,30896806257939e+06
2018-04-01;2313401;3,00157080282498e+07
2018-04-01;2313500;2,03273928289310e+07
2018-04-01;2313559;6,96434834595001e+06
2018-04-01;2313609;1,19903506790036e+07
2018-04-01;2313708;3,01037280434946e+06
2018-04-01;2313757;9,76706188788042e+06
2018-04-01;2313807;7,64838443627908e+06
2018-04-01;2313906;5,87088280006734e+06
2018-04-01;2314003;1,51794761327180e+07
2018-04-01;2314102;1,76663243353023e+07
2018-06-01;2300101;4,61813246788152e+06
2018-06-01;2300150;7,04955306852999e+06
2018-06-01;2300200;2,46217772982047e+07
2018-06-01;2300309;1,84584706627219e+07
2018-06-01;2300408;8,01205063263047e+06
2018-06-01;2300507;5,78475336220279e+06
2018-06-01;2300606;5,01383070408668e+06
2018-06-01;2300705;9,52969555746022e+06
2018-06-01;2300754;1,75437609644641e+07
2018-06-01;2300804;4,40208070563026e+06
2018-06-01;2300903;6,86608622253098e+06
2018-06-01;2301000;4,32201927826568e+07
2018-06-01;2301109;4,47600756497228e+07
2018-06-01;2301208;1,37112030928879e+07
2018-06-01;2301307;1,14620500223723e+07
2018-06-01;2301406;6,82230240296194e+06
2018-06-01;2301505;5,31665337887385e+06
2018-06-01;2301604;8,85999995652379e+06
2018-06-01;2301802;3,94252959140764e+06
2018-06-01;2301851;9,04313416451164e+06
2018-06-01;2301901;4,18816545933756e+07
2018-06-01;2302008;8,39465099042865e+06
2018-06-01;2302057;7,16000633373384e+06
2018-06-01;2302107;1,45690518900981e+07
2018-06-01;2302206;2,03317894524042e+07
2018-06-01;2302305;1,15523438533277e+07
2018-06-01;2302404;1,99017151574380e+07
2018-06-01;2302503;2,43077059338566e+07
2018-06-01;2302602;2,81648265125033e+07
2018-06-01;2302701;1,08649686966925e+07
2018-06-01;2302800;2,87506263226511e+07
2018-06-01;2302909;7,89416974953617e+06
2018-06-01;2303006;8,91356972955107e+06
2018-06-01;2303105;1,08873852577998e+07
2018-06-01;2303204;1,25354715979929e+07
2018-06-01;2303402;8,63338260989660e+06
2018-06-01;2303501;2,78014011032134e+07
2018-06-01;2303600;7,42918771437966e+06
2018-06-01;2303659;5,55653054461291e+05
2018-06-01;2303709;1,14433192637553e+08
2018-06-01;2303808;9,57549418525551e+06
2018-06-01;2303907;5,51283998961956e+06
2018-06-01;2303931;6,98194104697169e+06
2018-06-01;2303956;1,03543657837221e+07
2018-06-01;2304004;9,36628659847225e+06
2018-06-01;2304103;2,93041411414295e+07
2018-06-01;2304202;5,24360560332445e+07
2018-06-01;2304236;8,59082701651955e+06
2018-06-01;2304251;1,06951093723306e+07
2018-06-01;2304269;4,53609859460692e+06
2018-06-01;2304277;3,99559024028174e+06
2018-06-01;2304285;5,54440079086816e+07
2018-06-01;2304400;1,12781822658716e+09
2018-06-01;2304459;7,72230787167624e+06
2018-06-01;2304509;7,82850084717213e+06
2018-06-01;2304608;4,52875169317259e+06
2018-06-01;2304657;7,35097619918348e+06
2018-06-01;2304707;2,03714127804392e+07
2018-06-01;2304806;4,31293878527991e+06
2018-06-01;2304954;1,03060056694630e+07
2018-06-01;2305001;1,87900443292957e+07
2018-06-01;2305100;3,98472596100943e+06
2018-06-01;2305209;7,88201603813617e+06
2018-06-01;2305233;3,37874273751791e+07
2018-06-01;2305266;5,62365868495278e+06
2018-06-01;2305332;5,96485029333723e+06
2018-06-01;2305357;1,32180575368552e+07
2018-06-01;2305407;2,36152351686730e+07
2018-06-01;2305506;4,00271046648108e+07
2018-06-01;2305605;9,74579260352785e+06
2018-06-01;2305704;5,65722913638316e+06
2018-06-01;2305803;2,33053494823723e+07
2018-06-01;2305902;1,60628839482753e+07
2018-06-01;2306009;1,06436826872266e+07
2018-06-01;2306108;1,13091401607814e+07
2018-06-01;2306207;3,88081757831034e+06
2018-06-01;2306256;1,68048067172369e+07
2018-06-01;2306306;1,91304167666448e+07
2018-06-01;2306405;4,78842522370207e+07
2018-06-01;2306504;7,98412352870839e+06
2018-06-01;2306553;2,05347130830934e+07
2018-06-01;2306702;7,85989149163145e+06
2018-06-01;2306801;6,11860327120608e+06
2018-06-01;2307007;1,28252378979556e+07
2018-06-01;2307106;1,11828885196591e+07
2018-06-01;2307205;5,10047929502544e+06
2018-06-01;2307254;1,32076448206229e+07
2018-06-01;2307304;9,56711490195388e+07
2018-06-01;2307403;1,06385969975606e+07
2018-06-01;2307502;1,27217035665759e+07
2018-06-01;2307601;2,30530335756002e+07
2018-06-01;2307635;7,46289837299128e+06
2018-06-01;2307650;1,27980664041040e+08
2018-06-01;2307700;3,56507336456257e+07
2018-06-01;2307908;5,96874245597285e+06
2018-06-01;2308104;1,87043500725004e+07
2018-06-01;2308203;7,81299370724089e+06
2018-06-01;2308302;1,13324064507548e+07
2018-06-01;2308377;5,57559750255988e+06
2018-06-01;2308401;1,54287760556843e+07
2018-06-01;2308500;1,63181936648536e+07
2018-06-01;2308609;8,67757712084281e+06
2018-06-01;2308708;2,79996849877049e+07
2018-06-01;2308807;3,77538958673646e+06
2018-06-01;2308906;8,36047521635654e+06
2018-06-01;2309102;5,05603430691206e+06
2018-06-01;2309300;1,32718324129591e+07
2018-06-01;2309409;1,21802945799967e+07
2018-06-01;2309458;1,41515753655255e+07
2018-06-01;2309607;2,51462994836207e+07
2018-06-01;2309706;2,57202523906623e+07
2018-06-01;2309805;6,46241726731454e+06
2018-06-01;2309904;4,68790184069332e+06
2018-06-01;2310001;5,38012704865583e+06
2018-06-01;2310100;5,25441736894209e+06
2018-06-01;2310209;1,66206013376686e+07
2018-06-01;2310258;1,39134046650568e+07
2018-06-01;2310407;4,94844992324849e+06
2018-06-01;2310605;4,72160924943225e+06
2018-06-01;2310704;1,46975051958421e+07
2018-06-01;2310852;1,14050708846369e+07
2018-06-01;2310902;6,85847921843849e+06
2018-06-01;2310951;4,84824179143201e+06
2018-06-01;2311009;5,67577962411055e+06
2018-06-01;2311108;7,64174216224310e+06
2018-06-01;2311231;3,78963722045105e+06
2018-06-01;2311264;1,07213152737124e+07
2018-06-01;2311306;3,21600295327106e+07
2018-06-01;2311355;8,35523531571754e+06
2018-06-01;2311405;3,28403967225510e+07
2018-06-01;2311603;1,37643297999382e+07
2018-06-01;2311702;8,59696222323236e+06
2018-06-01;2311801;2,98320960161607e+07
2018-06-01;2311900;7,06006144160541e+06
2018-06-01;2311959;1,05679243181203e+07
2018-06-01;2312007;1,16608936635821e+07
2018-06-01;2312106;7,41555116957397e+06
2018-06-01;2312205;2,01617683114645e+07
2018-06-01;2312304;2,67422715198128e+07
2018-06-01;2312502;4,06453992298121e+06
2018-06-01;2312601;5,03186337876514e+06
2018-06-01;2312700;9,21448483062655e+06
2018-06-01;2312908;1,14040148791290e+08
2018-06-01;2313005;8,29983709435119e+06
2018-06-01;2313104;1,18455009779262e+07
2018-06-01;2313252;4,67620914856010e+06
2018-06-01;2313302;2,44666304860479e+07
2018-06-01;2313351;9,30579246388200e+06
2018-06-01;2313401;2,99038307946201e+07
2018-06-01;2313500;2,55886206868569e+07
2018-06-01;2313559;7,19629247131677e+06
2018-06-01;2313609;1,64946636590738e+07
2018-06-01;2313708;3,62725985907290e+06
2018-06-01;2313757;7,76765482358873e+06
2018-06-01;2313807;9,23900559402763e+06
2018-06-01;2313906;8,88660833432685e+06
2018-06-01;2314003;1,66509913372986e+07
2018-06-01;2314102;2,78402133848947e+07
2018-08-01;2300101;4,51893630006692e+06
2018-08-01;2300150;6,72310555012332e+06
2018-08-01;2300200;2,19902423399940e+07
2018-08-01;2300309;1,92540036806440e+07
2018-08-01;2300408;6,72425128207325e+06
2018-08-01;2300507;5,14380427860712e+06
2018-08-01;2300606;3,83029694671140e+06
2018-08-01;2300705;6,39101651163467e+06
2018-08-01;2300754;1,81222090284926e+07
2018-08-01;2300804;4,12338973966452e+06
2018-08-01;2300903;5,75061016900614e+06
2018-08-01;2301000;4,35615781651968e+07
2018-08-01;2301109;3,15620666225350e+07
2018-08-01;2301208;1,24653668717146e+07
2018-08-01;2301307;1,04257050046651e+07
2018-08-01;2301406;4,98119403957763e+06
2018-08-01;2301505;4,48293697825128e+06
2018-08-01;2301604;8,37747325355368e+06
2018-08-01;2301802;3,84181463899080e+06
2018-08-01;2301851;7,56694363231909e+06
2018-08-01;2301901;3,95087810802111e+07
2018-08-01;2302008;7,37489372094699e+06
2018-08-01;2302057;6,34550606225608e+06
2018-08-01;2302107;1,27113456273416e+07
2018-08-01;2302206;2,02773880245246e+07
2018-08-01;2302305;1,01865027812228e+07
2018-08-01;2302404;1,47225346758562e+07
2018-08-01;2302503;2,34961285321727e+07
2018-08-01;2302602;2,39325682907144e+07
2018-08-01;2302701;8,81639077268345e+06
2018-08-01;2302800;2,74763734531839e+07
2018-08-01;2302909;7,81158258052906e+06
2018-08-01;2303006;7,39319209934655e+06
2018-08-01;2303105;8,81639077268345e+06
2018-08-01;2303204;1,08479616965496e+07
2018-08-01;2303402;6,67566040248897e+06
2018-08-01;2303501;2,58024111971452e+07
2018-08-01;2303600;7,18255438496586e+06
2018-08-01;2303659;5,13591597767923e+06
2018-08-01;2303709;1,12022596552993e+08
2018-08-01;2303808;9,41336949870608e+06
2018-08-01;2303907;5,08644086144814e+06
2018-08-01;2303931;5,64828381142557e+06
2018-08-01;2303956;9,21193718674124e+06
2018-08-01;2304004;7,91831477767421e+06
2018-08-01;2304103;2,69033142020222e+07
2018-08-01;2304202;4,65702687234462e+07
2018-08-01;2304236;9,13031615987175e+06
2018-08-01;2304251;1,17107403735790e+07
2018-08-01;2304269;4,48489566576578e+06
2018-08-01;2304277;4,74953853748673e+06
2018-08-01;2304285;4,79485817150582e+07
2018-08-01;2304400;1,09710343712384e+09
2018-08-01;2304459;7,13848043176227e+06
2018-08-01;2304509;7,99001761382003e+06
2018-08-01;2304608;4,09535266783380e+06
2018-08-01;2304657;1,28989944722349e+07
2018-08-01;2304707;2,03283565987557e+07
2018-08-01;2304806;3,06553660218370e+06
2018-08-01;2304954;9,46719585670503e+06
2018-08-01;2305001;1,34176800140425e+07
2018-08-01;2305100;4,00804897845128e+06
2018-08-01;2305209;7,73499520034280e+06
2018-08-01;2305233;3,24156302271470e+07
2018-08-01;2305266;4,92467980390279e+06
2018-08-01;2305332;5,68743515973292e+06
2018-08-01;2305357;1,30250831530801e+07
2018-08-01;2305407;2,09407148599360e+07
2018-08-01;2305506;4,80080372522439e+07
2018-08-01;2305605;8,28858136492222e+06
2018-08-01;2305704;4,57886978749092e+06
2018-08-01;2305803;1,50997040006289e+07
2018-08-01;2305902;1,34746406345489e+07
2018-08-01;2306009;7,25327892990990e+06
2018-08-01;2306108;7,87337984535947e+06
2018-08-01;2306207;3,77602744597677e+06
2018-08-01;2306256;1,68869182187509e+07
2018-08-01;2306306;1,72115638439254e+07
2018-08-01;2306405;4,73177862282155e+07
2018-08-01;2306504;7,85473859279649e+06
2018-08-01;2306553;1,84775021643605e+07
2018-08-01;2306702;7,74262405479211e+06
2018-08-01;2306801;5,31978379569069e+06
2018-08-01;2307007;1,18158089702294e+07
2018-08-01;2307106;1,00689369290189e+07
2018-08-01;2307205;4,67536301778506e+06
2018-08-01;2307254;1,34846048337665e+07
2018-08-01;2307304;8,31244406933190e+07
2018-08-01;2307403;9,92355727057245e+06
2018-08-01;2307502;1,68649060081600e+07
2018-08-01;2307601;2,00985934225274e+07
2018-08-01;2307635;7,10371791327294e+06
2018-08-01;2307650;1,18630335438907e+08
2018-08-01;2307700;3,32021981925012e+07
2018-08-01;2307908;4,67185852592935e+06
2018-08-01;2308104;1,58443021668360e+07
2018-08-01;2308203;7,53084505508618e+06
2018-08-01;2308302;1,07788222776177e+07
2018-08-01;2308377;5,19705366735340e+06
2018-08-01;2308401;1,28994490636219e+07
2018-08-01;2308500;1,27790094986023e+07
2018-08-01;2308609;8,02553459505913e+06
2018-08-01;2308708;2,54983906833211e+07
2018-08-01;2308807;4,09245739733131e+06
2018-08-01;2308906;8,19458633843243e+06
2018-08-01;2309102;4,39619098566205e+06
2018-08-01;2309300;1,11626409048229e+07
2018-08-01;2309409;1,02054977712222e+07
2018-08-01;2309458;1,07027766989487e+07
2018-08-01;2309607;2,36718684606155e+07
2018-08-01;2309706;2,75162744123543e+07
2018-08-01;2309805;4,26320694080899e+06
2018-08-01;2309904;3,79238751253443e+06
2018-08-01;2310001;4,12472266888489e+06
2018-08-01;2310100;4,62052228900937e+06
2018-08-01;2310209;1,55772919909356e+07
2018-08-01;2310258;1,54383633042034e+07
2018-08-01;2310407;4,49841331473962e+06
2018-08-01;2310605;4,86527257169554e+06
2018-08-01;2310704;1,53057444454381e+07
2018-08-01;2310852;9,24972342127134e+06
2018-08-01;2310902;6,16983667191518e+06
2018-08-01;2310951;4,67999089589450e+06
2018-08-01;2311009;5,29941670114463e+06
2018-08-01;2311108;7,07446416612840e+06
2018-08-01;2311231;3,58711812370226e+06
2018-08-01;2311264;8,16589139129440e+06
2018-08-01;2311306;3,20320522692813e+07
2018-08-01;2311355;7,25831700070326e+06
2018-08-01;2311405;3,40211230861637e+07
2018-08-01;2311603;1,15300331713621e+07
2018-08-01;2311702;9,12130943714958e+06
2018-08-01;2311801;2,74930720260812e+07
2018-08-01;2311900;6,72812295255488e+06
2018-08-01;2311959;7,90974840588285e+06
2018-08-01;2312007;1,11038405637123e+07
2018-08-01;2312106;7,18256182602641e+06
2018-08-01;2312205;1,33202409247635e+07
2018-08-01;2312304;1,76111875764134e+07
2018-08-01;2312502;3,82867103558225e+06
2018-08-01;2312601;5,26509943050190e+06
2018-08-01;2312700;9,10905151131940e+06
2018-08-01;2312908;1,20333592722527e+08
2018-08-01;2313005;8,14469603128613e+06
2018-08-01;2313104;1,02113542235880e+07
2018-08-01;2313252;4,10563826232896e+06
2018-08-01;2313302;2,15085757591847e+07
2018-08-01;2313351;8,21442061476885e+06
2018-08-01;2313401;2,60065335706978e+07
2018-08-01;2313500;2,11061235568800e+07
2018-08-01;2313559;6,78146891748634e+06
2018-08-01;2313609;1,39462339331200e+07
2018-08-01;2313708;3,27107722386417e+06
2018-08-01;2313757;7,65251999375789e+06
2018-08-01;2313807;8,51930234410694e+06
2018-08-01;2313906;5,77724237761213e+06
2018-08-01;2314003;1,27552092495692e+07
2018-08-01;2314102;2,12967962529013e+07
2018-10-01;2300101;3,81383434947309e+06
